OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1,4092110115,Wakefield Elementary Cafeteria,2400 Wakefield Pines Dr,,RALEIGH,NC,27614,(919) 562-3565,1999-06-30T00:00:00.000Z,Public School Lunchrooms,19,-78.56641546,35.94649395,M
2,4092110117,Green Hope High Sch. Cafeteria,2500 Carpenter Upchurch RD ,,MORRISVILLE,NC,27560-7686,(919) 380-3684,1999-08-12T00:00:00.000Z,Public School Lunchrooms,20,0,0,U
3,4092010617,Rex Hospital Cafeteria,4420 LAKE BOONE TRL,,RALEIGH,NC,27607-6599,(919) 784-4173,1991-05-13T00:00:00.000Z,Restaurant,41,-78.70241996,35.81817245,M
4,4092110082,Penny Road Elementary Cafeteria,10900 PENNY RD ,,RALEIGH,NC,27606-9118,(919) 387-2143,1991-09-16T00:00:00.000Z,Public School Lunchrooms,51,0,0,U
5,4092160021,Woodland Terrace Assisted Living Foodservice,300 Kildaire Woods Dr ,,CARY,NC,27511,(919) 465-0356,2001-09-05T00:00:00.000Z,Institutional Food Service,61,-78.7790102,35.76613538,M
6,4092012834,Mcdonald`s #18969,1305 E WILLIAMS ST,,APEX,NC,27502-2188,(919) 362-5890,1998-11-16T00:00:00.000Z,Restaurant,62,-78.84062903,35.71592776,M
7,4092013291,Biscuitville # 169,605 STELLATA DR ,,FUQUAY VARINA,NC,27526-1946,(919) 577-6380,2001-03-01T00:00:00.000Z,Restaurant,76,-78.78197965,35.59136738,M
8,4092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003-02-18T00:00:00.000Z,Restaurant,83,-78.59121781,35.90586931,M
9,4092010564,Pizza Hut,1301 N MAIN ST ,,FUQUAY VARINA,NC,27526-2618,(919) 552-0771,1991-04-22T00:00:00.000Z,Restaurant,104,-78.77817658,35.59223835,M
10,4092021056,Cook Out #13,6505 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6814,(919) 862-8830,2001-02-23T00:00:00.000Z,Food Stand,126,-78.62236608,35.87164952,M
11,4092013798,Chili's Grill and Bar #867,115 Carillon Dr ,,GARNER,NC,27529,(919) 771-1700,2003-04-16T00:00:00.000Z,Restaurant,133,-78.58321782,35.6933369,M
12,4092021190,Harris Teeter #112 Deli,270 Grande Heights Dr ,,CARY,NC,27513,(919) 460-4326,2003-06-23T00:00:00.000Z,Food Stand,137,-78.7805746,35.804703,M
13,4092021198,Food Lion #572 Produce,8320-120 Litchford Rd ,,RALEIGH,NC,27615,(919) 790-8146,2003-06-30T00:00:00.000Z,Food Stand,138,-78.60100965,35.89311432,M
14,4092010076,The Border Restaurant,712 N Main St,,WAKE FOREST,NC,27587,(919) 556-2125,1991-04-29T00:00:00.000Z,Restaurant,143,-78.5048488,35.98936508,M
